date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2025-10-18,Viktor Arvidsson,BOS,ASSISTS,0.5,0.66,0.483,362,-581,pinnacle,Over,1.2314051153740897,0.66,1.2314051153740897
2025-10-18,Matthew Schaefer,NYI,GOALS,0.5,0.35,0.2953,650,-1400,fanduel,Over,1.2148393271096491,0.35,1.2148393271096491
2025-10-18,Brendan Gallagher,MTL,ASSISTS,0.5,0.723,0.5146,330,-514,pinnacle,Over,1.212624547050952,0.723,1.212624547050952
2025-10-18,Viktor Arvidsson,BOS,ASSISTS,0.5,0.66,0.483,340,-500,draftkings,Over,1.1251477289277045,0.66,1.1251477289277045
2025-10-18,Brendan Gallagher,MTL,ASSISTS,0.5,0.723,0.5146,310,-455,draftkings,Over,1.1097117774206753,0.723,1.1097117774206753
2025-10-18,Evan Rodrigues,FLA,GOALS,0.5,0.611,0.457,340,-550,fanduel,Over,1.0107333303995971,0.611,1.0107333303995971
2025-10-18,Shane Pinto,OTT,GOALS,0.5,0.827,0.5628,250,-360,fanduel,Over,0.9698008840024139,0.827,0.9698008840024139
2025-10-18,Adrian Kempe,LAK,POINTS,0.5,0.343,0.2906,-225,172,fanduel,Under,0.9296418172398269,0.343,0.9296418172398269
2025-10-18,Cale Makar,COL,POINTS,0.5,0.427,0.3477,-264,190,pinnacle,Under,0.8916767406920401,0.427,0.8916767406920401
2025-10-18,Jack Hughes,NJD,POINTS,0.5,0.414,0.3387,-254,184,pinnacle,Under,0.8779886039822421,0.414,0.8779886039822421
2025-10-18,Ryan Hartman,MIN,SOG,2.5,3.828,0.7355,154,-209,pinnacle,Over,0.8682690068032057,3.828,0.8682690068032057
2025-10-18,Travis Konecny,PHI,POINTS,0.5,0.217,0.1951,-170,132,fanduel,Under,0.8673028646026842,0.217,0.8673028646026842
2025-10-18,Ivan Demidov,MTL,ASSISTS,0.5,0.702,0.5045,270,-398,pinnacle,Over,0.8667003216574919,0.702,0.8667003216574919
2025-10-18,Cale Makar,COL,POINTS,0.5,0.427,0.3477,-248,185,draftkings,Under,0.8590616244732119,0.427,0.8590616244732119
2025-10-18,Adrian Kempe,LAK,POINTS,0.5,0.343,0.2906,-212,160,draftkings,Under,0.8445105605968934,0.343,0.8445105605968934
2025-10-18,Ryan Hartman,MIN,SOG,2.5,3.828,0.7355,150,-198,draftkings,Over,0.8388474476409506,3.828,0.8388474476409506
2025-10-18,Jack Hughes,NJD,POINTS,0.5,0.414,0.3387,-234,176,draftkings,Under,0.8250875165461226,0.414,0.8250875165461226
2025-10-18,Sam Bennett,FLA,POINTS,0.5,0.145,0.135,-142,110,draftkings,Under,0.8164890053805121,0.145,0.8164890053805121
2025-10-18,Sam Bennett,FLA,POINTS,0.5,0.145,0.135,-147,110,pinnacle,Under,0.8164890053805121,0.145,0.8164890053805121
2025-10-18,Nikolaj Ehlers,CAR,SOG,2.5,4.651,0.8427,115,-148,draftkings,Over,0.8117362227183267,4.651,0.8117362227183267
2025-10-18,Eetu Luostarinen,FLA,ASSISTS,0.5,0.601,0.4518,300,-475,pinnacle,Over,0.8071468312627965,0.601,0.8071468312627965
