date,player,team,market,line,proj_lambda,p_over,over_price,under_price,book,side,ev,chosen_prob
2026-01-27,Morgan Barron,WPG,BLOCKS,1.5,1.8,0.416601,,,,Over,0.0,0.416601
2026-01-27,Barrett Hayton,UTA,BLOCKS,1.5,1.8,0.416936,,,,Over,0.0,0.416936
2026-01-27,Nick Schmaltz,UTA,BLOCKS,2.5,1.8,0.269094,,,,Over,0.0,0.269094
2026-01-27,Nick Schmaltz,UTA,BLOCKS,1.5,1.8,0.416936,,,,Over,0.0,0.416936
2026-01-27,JJ Peterka,UTA,BLOCKS,3.5,1.8,0.173231,,,,Over,0.0,0.173231
2026-01-27,JJ Peterka,UTA,BLOCKS,2.5,1.8,0.269094,,,,Over,0.0,0.269094
2026-01-27,JJ Peterka,UTA,BLOCKS,1.5,1.8,0.416936,,,,Over,0.0,0.416936
2026-01-27,Liam O'Brien,UTA,BLOCKS,3.5,1.8,0.173231,,,,Over,0.0,0.173231
2026-01-27,Liam O'Brien,UTA,BLOCKS,2.5,1.8,0.269094,,,,Over,0.0,0.269094
2026-01-27,Liam O'Brien,UTA,BLOCKS,1.5,1.8,0.416936,,,,Over,0.0,0.416936
2026-01-27,Jack McBain,UTA,BLOCKS,3.5,1.8,0.173231,,,,Over,0.0,0.173231
2026-01-27,Jack McBain,UTA,BLOCKS,2.5,1.8,0.269094,,,,Over,0.0,0.269094
2026-01-27,Jack McBain,UTA,BLOCKS,1.5,1.8,0.416936,,,,Over,0.0,0.416936
2026-01-27,Alexander Kerfoot,UTA,BLOCKS,3.5,1.8,0.173231,,,,Over,0.0,0.173231
2026-01-27,Alexander Kerfoot,UTA,BLOCKS,2.5,1.8,0.269094,,,,Over,0.0,0.269094
2026-01-27,Alexander Kerfoot,UTA,BLOCKS,1.5,1.8,0.416936,,,,Over,0.0,0.416936
2026-01-27,Clayton Keller,UTA,BLOCKS,3.5,1.8,0.173231,,,,Over,0.0,0.173231
2026-01-27,Clayton Keller,UTA,BLOCKS,2.5,1.8,0.269094,,,,Over,0.0,0.269094
2026-01-27,Clayton Keller,UTA,BLOCKS,1.5,1.8,0.416936,,,,Over,0.0,0.416936
2026-01-27,Cam Hebig,UTA,BLOCKS,3.5,1.8,0.173231,,,,Over,0.0,0.173231
2026-01-27,Cam Hebig,UTA,BLOCKS,2.5,1.8,0.269094,,,,Over,0.0,0.269094
2026-01-27,Cam Hebig,UTA,BLOCKS,1.5,1.8,0.416936,,,,Over,0.0,0.416936
2026-01-27,Barrett Hayton,UTA,BLOCKS,3.5,1.8,0.173231,,,,Over,0.0,0.173231
