date,player,team,position,market,proj_lambda
2025-10-28,D. Heatherington,ANA,D,ASSISTS,0.45
2025-10-28,D. Heatherington,ANA,D,BLOCKS,1.3
2025-10-28,D. Heatherington,ANA,D,GOALS,0.35
2025-10-28,D. Heatherington,ANA,D,POINTS,0.9
2025-10-28,D. Heatherington,ANA,D,SOG,2.4
2025-10-28,D. Helleson,ANA,D,ASSISTS,0.23339052498340607
2025-10-28,D. Helleson,ANA,D,BLOCKS,0.8682582974433899
2025-10-28,D. Helleson,ANA,D,GOALS,0.24530425667762756
2025-10-28,D. Helleson,ANA,D,POINTS,0.41761070489883423
2025-10-28,D. Helleson,ANA,D,SOG,1.7205886840820312
2025-10-28,G. Lindstrom,ANA,D,ASSISTS,0.21534810960292816
2025-10-28,G. Lindstrom,ANA,D,BLOCKS,0.9778825044631958
2025-10-28,G. Lindstrom,ANA,D,GOALS,5.2131039410596713e-05
2025-10-28,G. Lindstrom,ANA,D,POINTS,0.07500436902046204
2025-10-28,G. Lindstrom,ANA,D,SOG,1.5970404148101807
2025-10-28,I. Moore,ANA,D,ASSISTS,0.45
2025-10-28,I. Moore,ANA,D,BLOCKS,1.3
2025-10-28,I. Moore,ANA,D,GOALS,0.35
2025-10-28,I. Moore,ANA,D,POINTS,0.9
2025-10-28,I. Moore,ANA,D,SOG,2.4
2025-10-28,J. LaCombe,ANA,D,ASSISTS,0.5278001427650452
2025-10-28,J. LaCombe,ANA,D,BLOCKS,1.429131031036377
2025-10-28,J. LaCombe,ANA,D,GOALS,6.305606916612305e-07
2025-10-28,J. LaCombe,ANA,D,POINTS,0.5767610669136047
2025-10-28,J. LaCombe,ANA,D,SOG,2.167618989944458
2025-10-28,J. Trouba,ANA,D,ASSISTS,0.1703057885169983
2025-10-28,J. Trouba,ANA,D,BLOCKS,1.821999430656433
2025-10-28,J. Trouba,ANA,D,GOALS,0.11273378878831863
2025-10-28,J. Trouba,ANA,D,POINTS,0.10205133259296417
2025-10-28,J. Trouba,ANA,D,SOG,1.4801814556121826
2025-10-28,K. Smith,ANA,D,ASSISTS,0.45
2025-10-28,K. Smith,ANA,D,BLOCKS,1.3
2025-10-28,K. Smith,ANA,D,GOALS,0.35
2025-10-28,K. Smith,ANA,D,POINTS,0.9
2025-10-28,K. Smith,ANA,D,SOG,2.4
2025-10-28,L. Profaca,ANA,D,ASSISTS,0.45
2025-10-28,L. Profaca,ANA,D,BLOCKS,1.3
2025-10-28,L. Profaca,ANA,D,GOALS,0.35
2025-10-28,L. Profaca,ANA,D,POINTS,0.9
2025-10-28,L. Profaca,ANA,D,SOG,2.4
2025-10-28,M. Pysyk,ANA,D,ASSISTS,0.45
2025-10-28,M. Pysyk,ANA,D,BLOCKS,1.3
2025-10-28,M. Pysyk,ANA,D,GOALS,0.35
2025-10-28,M. Pysyk,ANA,D,POINTS,0.9
2025-10-28,M. Pysyk,ANA,D,SOG,2.4
2025-10-28,N. Warren,ANA,D,ASSISTS,0.45
2025-10-28,N. Warren,ANA,D,BLOCKS,1.3
2025-10-28,N. Warren,ANA,D,GOALS,0.35
2025-10-28,N. Warren,ANA,D,POINTS,0.9
2025-10-28,N. Warren,ANA,D,SOG,2.4
2025-10-28,N. Wolff,ANA,D,ASSISTS,0.45
2025-10-28,N. Wolff,ANA,D,BLOCKS,1.3
2025-10-28,N. Wolff,ANA,D,GOALS,0.35
2025-10-28,N. Wolff,ANA,D,POINTS,0.9
2025-10-28,N. Wolff,ANA,D,SOG,2.4
2025-10-28,O. Zellweger,ANA,D,ASSISTS,0.23339052498340607
2025-10-28,O. Zellweger,ANA,D,BLOCKS,0.6296039819717407
2025-10-28,O. Zellweger,ANA,D,GOALS,6.305606916612305e-07
2025-10-28,O. Zellweger,ANA,D,POINTS,0.22518841922283173
2025-10-28,O. Zellweger,ANA,D,SOG,2.2567741870880127
2025-10-28,P. Mintyukov,ANA,D,ASSISTS,0.20253534615039825
2025-10-28,P. Mintyukov,ANA,D,BLOCKS,0.7776718735694885
2025-10-28,P. Mintyukov,ANA,D,GOALS,0.10822199285030365
2025-10-28,P. Mintyukov,ANA,D,POINTS,0.30260705947875977
2025-10-28,P. Mintyukov,ANA,D,SOG,1.438611626625061
2025-10-28,R. Dionicio,ANA,D,ASSISTS,0.45
2025-10-28,R. Dionicio,ANA,D,BLOCKS,1.3
2025-10-28,R. Dionicio,ANA,D,GOALS,0.35
2025-10-28,R. Dionicio,ANA,D,POINTS,0.9
2025-10-28,R. Dionicio,ANA,D,SOG,2.4
2025-10-28,R. Gudas,ANA,D,ASSISTS,0.13501103222370148
2025-10-28,R. Gudas,ANA,D,BLOCKS,1.6537492275238037
2025-10-28,R. Gudas,ANA,D,GOALS,0.10822199285030365
2025-10-28,R. Gudas,ANA,D,POINTS,0.21980616450309753
2025-10-28,R. Gudas,ANA,D,SOG,2.384132146835327
2025-10-28,R. McKeown,ANA,D,ASSISTS,0.45
2025-10-28,R. McKeown,ANA,D,BLOCKS,1.3
2025-10-28,R. McKeown,ANA,D,GOALS,0.35
2025-10-28,R. McKeown,ANA,D,POINTS,0.9
2025-10-28,R. McKeown,ANA,D,SOG,2.4
2025-10-28,S. Solberg,ANA,D,ASSISTS,0.45
2025-10-28,S. Solberg,ANA,D,BLOCKS,1.3
2025-10-28,S. Solberg,ANA,D,GOALS,0.35
2025-10-28,S. Solberg,ANA,D,POINTS,0.9
2025-10-28,S. Solberg,ANA,D,SOG,2.4
2025-10-28,T. Hinds,ANA,D,ASSISTS,0.45
2025-10-28,T. Hinds,ANA,D,BLOCKS,1.3
2025-10-28,T. Hinds,ANA,D,GOALS,0.35
2025-10-28,T. Hinds,ANA,D,POINTS,0.9
2025-10-28,T. Hinds,ANA,D,SOG,2.4
2025-10-28,T. Luneau,ANA,D,ASSISTS,0.01016929466277361
2025-10-28,T. Luneau,ANA,D,BLOCKS,1.0626798868179321
2025-10-28,T. Luneau,ANA,D,GOALS,6.305606916612305e-07
2025-10-28,T. Luneau,ANA,D,POINTS,0.008281823247671127
2025-10-28,T. Luneau,ANA,D,SOG,1.7615065574645996
2025-10-28,A. Killorn,ANA,F,ASSISTS,0.13877597451210022
2025-10-28,A. Killorn,ANA,F,BLOCKS,0.7741919159889221
2025-10-28,A. Killorn,ANA,F,GOALS,0.10822199285030365
2025-10-28,A. Killorn,ANA,F,POINTS,0.22518841922283173
2025-10-28,A. Killorn,ANA,F,SOG,2.426287889480591
2025-10-28,B. McGinn,ANA,F,ASSISTS,0.13877597451210022
2025-10-28,B. McGinn,ANA,F,BLOCKS,0.7528385519981384
2025-10-28,B. McGinn,ANA,F,GOALS,0.10822199285030365
